id,local,age,employed,home_x,home_y,work_start,work_dur,work_part,education_start,education_dur,education_part,leisure_start,leisure_dur,leisure_part,shop_start,shop_dur,shop_part,work_id,work_x,work_y
6681573,Avenches,25,False,2567968,1192947,48,51,0,52,25,0,106,9,1,54,2,1,375697,2569734,1192310
6326614,Avenches,75,False,2569695,1192217,84,14,0,59,48,0,88,10,0,92,2,0,282729,2570104,1187541
6962866,Avenches,20,True,2569298,1189463,79,27,1,104,12,0,72,12,0,104,12,0,475556,2574690,1193080
7029901,Avenches,24,True,2569802,1192611,42,30,1,83,29,0,84,8,1,97,2,0,449648,2569834,1192143
7054088,Avenches,1,False,2569719,1192663,0,0,0,80,36,0,82,8,0,96,0,0,21221,2569536,1211265
6459165,Avenches,64,True,2569736,1192027,46,26,1,104,12,0,112,1,0,64,6,0,81761,2561792,1185371
6939999,Avenches,53,True,2569768,1192553,101,4,1,103,7,0,82,12,0,102,6,0,12433,2538368,1181287
6961716,Avenches,57,True,2571015,1191627,40,85,1,56,7,0,75,25,0,94,0,1,32472,2567250,1191438
6681782,Avenches,19,True,2569342,1192002,48,8,0,46,29,1,98,30,0,78,2,1,460692,2574124,1210539
7015213,Avenches,48,True,2569220,1192095,38,4,1,118,12,0,128,34,1,72,6,1,92184,2565480,1192704
6982503,Avenches,54,False,2569304,1189383,42,56,0,0,0,0,86,0,0,54,2,0,17380,2578332,1183792
7003606,Avenches,46,True,2569740,1192197,86,28,1,110,6,0,121,2,0,94,3,0,156395,2574880,1196387
6964344,Avenches,38,True,2571062,1191887,82,32,1,118,12,0,126,25,0,60,0,0,282729,2570104,1187541
6933423,Avenches,16,True,2570923,1191739,0,0,1,43,28,0,117,6,1,68,0,1,456423,2569712,1191966
6964373,Avenches,13,False,2569280,1191972,0,0,0,80,26,0,86,8,1,91,4,0,376733,2569996,1192407
6459215,Avenches,29,True,2569974,1192668,57,28,1,72,12,0,122,10,0,68,6,0,19937,2540118,1180348
6682482,Avenches,22,True,2571190,1191530,42,38,0,117,48,1,112,14,0,101,0,1,105296,2570476,1193703
6681879,Avenches,39,True,2569541,1192032,82,6,1,103,6,0,52,5,0,101,2,1,375702,2540506,1181210
6945024,Avenches,27,True,2570010,1192646,42,24,1,78,11,0,74,5,1,107,4,0,349856,2561924,1204802
6326368,Avenches,27,True,2569093,1192055,58,31,1,74,14,0,113,4,1,74,3,0,382537,2569734,1192310
6326539,Avenches,95,False,2569512,1192062,82,14,0,60,4,0,92,7,1,69,2,0,203180,2662194,1244866
6458888,Avenches,45,True,2569878,1192610,48,30,0,107,6,0,113,8,0,58,2,1,282589,2570368,1189049
6458761,Avenches,41,True,2570906,1191794,38,48,0,112,6,0,112,6,0,88,2,0,233027,2575248,1201445
6458770,Avenches,68,True,2569345,1192304,78,32,1,0,0,0,85,4,1,62,0,0,293989,2570342,1194391
6458873,Avenches,31,True,2569529,1192444,45,22,1,50,12,0,75,4,1,103,1,0,30240,2595520,1197709
6682301,Avenches,39,True,2569534,1192500,42,26,0,110,18,0,107,21,1,81,8,1,19614,2537982,1151494
6987642,Avenches,43,True,2569548,1192035,54,0,0,108,12,0,113,14,0,109,2,0,440724,2569776,1193237
6981971,Avenches,48,True,2569381,1192276,28,26,1,118,12,0,72,2,0,78,2,0,83107,2561860,1185750
6459244,Avenches,69,False,2570066,1192771,82,3,0,60,4,0,87,4,0,64,3,0,368950,2570686,1186758
6681575,Avenches,29,False,2569982,1192679,48,20,0,52,24,0,75,4,0,88,8,0,81761,2561792,1185371
6326766,Avenches,87,False,2569620,1191920,82,14,0,58,8,0,90,30,0,52,2,0,378839,2531066,1159058
6458981,Avenches,49,True,2569525,1192369,42,6,0,112,6,0,110,4,0,101,1,0,368519,2568958,1191930
7133194,Avenches,53,True,2569815,1192662,42,62,0,118,12,0,116,28,1,55,4,1,354425,2538472,1152450
6615638,Avenches,54,True,2569685,1192500,46,17,1,104,8,0,59,6,1,91,2,1,350140,2561338,1204461
6682316,Avenches,18,True,2569719,1192663,0,0,1,53,12,0,105,8,0,102,0,0,132989,2561706,1185319
6682669,Avenches,51,True,2569487,1192467,40,61,0,103,10,0,104,18,1,106,4,1,313980,2562008,1184975
6968228,Avenches,0,False,2569852,1191769,0,0,0,48,18,0,110,8,0,80,1,0,167989,2574988,1196238
6978009,Avenches,3,False,2571133,1191974,0,0,0,79,28,0,111,22,0,67,0,0,219263,2574906,1196402
6459075,Avenches,83,False,2569590,1192239,94,14,0,60,3,0,58,30,0,88,8,0,105296,2570476,1193703
6682265,Avenches,13,False,2569802,1192611,0,0,0,80,22,1,104,16,0,100,1,0,89010,2578840,1184033
6445884,Avenches,69,False,2569563,1192057,82,2,0,93,8,0,104,18,1,101,9,0,100103,2556606,1175701
6459300,Avenches,63,True,2569845,1192690,50,0,1,108,10,0,132,6,0,120,2,0,105296,2570476,1193703
6682541,Avenches,22,True,2569962,1192723,52,22,1,50,20,1,112,8,0,93,8,0,105296,2570476,1193703
6459055,Avenches,86,False,2569628,1192059,82,6,0,59,3,0,98,0,0,60,4,0,21521,2569104,1210735
6682427,Avenches,43,True,2569721,1191972,102,2,1,110,12,0,111,32,0,97,20,0,231916,2570248,1192993
6459299,Avenches,26,True,2569610,1191810,80,33,1,86,16,0,102,6,0,46,0,0,125922,2569860,1192347
6681628,Avenches,31,True,2569476,1192035,78,0,0,117,22,0,83,4,0,109,2,1,301142,2569480,1189185
7023816,Avenches,2,False,2569507,1192393,0,0,0,48,24,0,70,8,0,70,0,0,9367,2597422,1196984
6682118,Avenches,48,True,2569996,1193024,48,48,0,112,12,0,60,0,0,72,2,1,99107,2534604,1155609
6682528,Avenches,4,False,2569592,1192838,0,0,0,46,20,0,100,24,0,118,1,0,193649,2603478,1198407
6648699,Avenches,74,True,2569068,1191947,52,4,0,0,0,0,97,2,0,103,4,0,235503,2569048,1192201
6682141,Avenches,20,True,2569614,1189200,48,57,1,72,28,0,109,29,0,66,2,0,360720,2602814,1199429
6681855,Avenches,47,True,2571195,1191519,32,18,1,110,12,0,114,14,1,80,0,0,171117,2532594,1155265
6916783,Avenches,31,False,2569750,1191983,65,0,1,48,65,0,58,8,0,99,0,0,220834,2561656,1186930
6681725,Avenches,35,True,2570935,1191814,42,26,1,86,28,0,70,17,1,49,0,0,125922,2569860,1192347
7042369,Avenches,30,True,2569822,1191785,44,22,0,120,14,0,112,4,1,48,2,0,332852,2559806,1205362
7123997,Avenches,1,False,2569913,1191871,0,0,0,54,18,0,94,8,0,66,15,0,282729,2570104,1187541
7005009,Avenches,17,True,2569311,1189437,0,0,0,47,27,0,74,10,0,104,1,0,134987,2567880,1191500
6946265,Avenches,13,False,2570010,1192712,0,0,0,44,0,1,104,25,1,102,2,0,425289,2563182,1186707
6936590,Avenches,33,True,2569128,1192011,43,3,1,50,34,0,109,14,0,106,0,0,352166,2601290,1197221
6682400,Avenches,43,False,2569510,1191874,42,56,0,0,0,0,104,3,1,84,2,1,78969,2575280,1197197
6955826,Avenches,48,True,2569570,1192037,54,54,0,104,12,0,90,1,0,63,0,0,376733,2569996,1192407
6681938,Avenches,32,True,2569536,1192086,41,30,0,78,48,0,113,14,0,106,0,0,374473,2561514,1187205
7026763,Avenches,25,True,2570813,1191741,52,20,0,43,11,0,110,2,0,104,6,0,375045,2567904,1192932
6943424,Avenches,18,True,2569084,1191983,0,0,1,49,19,0,109,2,0,70,6,0,18241,2578306,1183215
6459209,Avenches,40,True,2569800,1191668,90,18,1,104,18,0,89,14,0,48,0,0,78969,2575280,1197197
6458810,Avenches,42,True,2570010,1192646,39,60,1,96,30,0,74,3,1,103,5,0,32472,2567250,1191438
6459120,Avenches,61,True,2569788,1192141,39,32,1,72,30,0,84,10,0,49,0,0,278755,2567466,1191624
6326774,Avenches,42,True,2569663,1192113,79,52,1,110,6,0,86,4,1,51,0,0,282589,2570368,1189049
7092571,Avenches,33,True,2569474,1191854,82,34,1,77,16,1,112,7,0,64,3,0,37634,2562322,1185378
6681856,Avenches,47,True,2571195,1191519,48,63,1,112,12,0,74,0,1,57,8,1,599567,2554114,1173113
6682874,Avenches,49,True,2569630,1192108,84,0,1,103,12,0,57,0,0,102,1,0,231916,2570248,1192993
6682055,Avenches,52,True,2569982,1192679,40,18,0,107,12,0,54,14,0,57,2,0,88194,2572500,1181906
7093028,Avenches,20,True,2569454,1189361,32,28,1,58,23,0,84,12,1,98,1,0,292869,2577036,1183660
6458902,Avenches,27,True,2569959,1192459,45,25,0,77,12,0,72,12,0,58,2,0,159042,2562054,1186533
6682785,Avenches,41,True,2569081,1191922,27,10,0,108,6,0,76,13,1,88,2,0,21221,2569536,1211265
6326403,Avenches,31,True,2570796,1191748,52,64,1,72,11,0,84,84,1,77,0,0,509509,2570324,1194926
6682163,Avenches,35,True,2569933,1192690,46,71,1,43,11,0,59,4,0,70,2,0,126489,2538180,1154220
6682072,Avenches,38,True,2569789,1192631,50,21,1,96,12,0,60,6,1,76,2,0,105296,2570476,1193703
6458848,Avenches,52,True,2569309,1191950,39,62,1,103,12,0,106,16,1,48,2,1,354425,2538472,1152450
6458939,Avenches,51,True,2569982,1192679,31,59,1,118,6,0,96,12,1,106,3,0,252036,2565638,1188869
6326370,Avenches,78,False,2569707,1192124,94,3,0,60,8,0,72,12,0,68,3,0,32034,2562538,1185453
6978008,Avenches,38,True,2571133,1191974,96,64,0,50,10,0,102,3,1,94,2,0,391682,2664556,1222862
6326729,Avenches,72,True,2569618,1192054,51,6,1,0,0,0,88,14,0,59,0,1,125922,2569860,1192347
7027426,Avenches,2,False,2569503,1191818,0,0,0,48,15,0,94,14,0,96,0,0,304312,2563064,1186486
6459145,Avenches,91,False,2571095,1191496,82,14,0,93,48,0,90,3,0,49,4,1,78969,2575280,1197197
7019979,Avenches,52,True,2569714,1191823,92,55,1,108,12,0,119,12,1,88,1,1,366746,2599990,1199549
6682509,Avenches,10,False,2569802,1192611,0,0,0,46,14,0,78,36,0,70,0,0,455854,2569630,1192120
6681947,Avenches,4,False,2569632,1191797,0,0,0,76,14,0,105,0,0,64,6,0,407228,2554860,1188807
7074337,Avenches,40,True,2570427,1192990,58,29,0,110,12,0,102,11,0,80,3,0,167989,2574988,1196238
6431701,Avenches,19,True,2569170,1192085,96,58,0,46,11,0,123,26,0,94,10,0,350140,2561338,1204461
6681817,Avenches,13,False,2569636,1192281,0,0,0,76,11,1,99,12,1,67,0,0,100455,2532066,1157564
6643287,Avenches,43,True,2569789,1192631,42,21,1,104,23,0,81,2,0,110,22,1,516913,2563160,1196455
6682211,Avenches,25,False,2569441,1192095,81,7,0,116,36,0,52,8,0,108,8,0,105296,2570476,1193703
6989914,Avenches,27,True,2569705,1192245,48,23,1,76,11,0,68,4,1,56,3,0,382765,2577680,1204997
6682342,Avenches,42,True,2569585,1191650,80,32,1,72,0,0,76,5,0,95,2,1,405549,2567502,1191659
6682349,Avenches,27,True,2570010,1192646,36,55,1,44,16,0,112,15,0,110,2,0,105296,2570476,1193703
6994560,Avenches,2,False,2569522,1191827,0,0,0,49,26,0,110,8,0,99,6,0,440209,2575228,1196328
6459160,Avenches,51,True,2569474,1191854,46,14,0,104,7,0,62,10,0,86,1,0,109789,2567530,1191039
6459173,Avenches,58,True,2570308,1194808,47,72,1,104,10,0,90,14,0,82,6,0,287310,2664380,1224506
6600112,Avenches,54,False,2569959,1192459,42,56,0,0,0,0,68,16,0,84,8,0,87662,2559796,1204260
6458801,Avenches,54,False,2569878,1192610,42,56,0,0,0,0,74,16,1,67,8,1,172451,2574986,1196413
6458721,Avenches,78,False,2569933,1192690,65,14,0,59,48,0,94,14,1,103,4,1,32034,2562538,1185453
6326413,Avenches,23,True,2569170,1192085,44,0,1,46,48,1,101,4,0,105,10,1,105296,2570476,1193703
6682091,Avenches,11,False,2569551,1191842,0,0,0,47,27,0,58,12,1,114,4,0,145495,2554872,1188828
6614740,Avenches,68,False,2569033,1189198,82,6,0,59,8,0,50,2,0,56,2,1,128372,2569872,1192805
6612291,Avenches,81,False,2569465,1192443,65,2,0,60,8,0,88,18,0,70,1,0,92659,2569666,1192548
6946327,Avenches,25,False,2569974,1192668,65,12,0,78,25,0,123,2,0,80,6,0,254914,2573998,1188884
6681785,Avenches,26,True,2571043,1191666,106,67,0,46,44,0,89,15,0,109,0,0,376101,2579038,1183823
6917365,Avenches,3,False,2569563,1192057,0,0,0,43,24,0,106,14,0,103,0,0,87230,2566960,1191350
6458772,Avenches,21,True,2570906,1191794,62,66,0,78,11,0,87,16,0,86,11,0,407866,2575456,1197570
6459061,Avenches,70,True,2569766,1192598,46,18,1,0,0,0,88,4,1,84,4,0,32472,2567250,1191438
6326717,Avenches,71,False,2569551,1191842,85,14,0,65,3,0,94,12,1,76,4,1,170196,2599350,1199390
7109496,Avenches,74,False,2569424,1192170,84,14,0,93,8,0,100,6,1,50,2,1,13025,2577894,1194748
6681813,Avenches,22,True,2569636,1192281,88,22,1,72,34,0,126,4,1,57,4,1,87230,2566960,1191350
6682139,Avenches,37,False,2569575,1192416,42,56,0,0,0,0,76,12,1,94,12,1,42125,2569192,1197151
6681803,Avenches,57,True,2569106,1191963,84,8,1,56,8,0,102,6,1,112,2,1,248173,2596750,1198215
6428076,Avenches,92,False,2569966,1192656,64,14,0,59,8,0,88,3,0,80,1,0,368950,2570686,1186758
7084762,Avenches,62,True,2569575,1192235,82,22,1,110,6,0,65,0,0,80,2,0,383487,2578286,1182459
6682300,Avenches,14,False,2569534,1192500,0,0,0,78,0,0,84,10,0,62,0,0,105296,2570476,1193703
6682368,Avenches,17,False,2569637,1192682,0,0,0,47,12,0,65,6,1,61,0,0,170196,2599350,1199390
7026764,Avenches,28,True,2570813,1191741,36,2,1,51,28,0,101,3,1,101,17,0,152943,2575828,1183089
6326336,Avenches,60,True,2569962,1192723,102,22,1,110,12,0,122,16,1,97,2,0,373379,2538150,1153739
7060908,Avenches,75,True,2570034,1192490,74,14,1,0,0,0,106,6,1,59,4,0,156043,2663906,1225011
6326342,Avenches,41,True,2570965,1191784,106,34,0,104,8,0,112,8,0,100,3,1,128373,2569666,1192548
6661910,Avenches,64,True,2568962,1189265,69,16,0,110,6,0,76,10,0,107,3,1,242304,2528648,1162584
6682360,Avenches,7,False,2570923,1191739,0,0,0,46,28,1,82,8,1,77,2,0,461985,2569626,1192177
6945051,Avenches,46,True,2569846,1192750,106,10,0,118,23,0,93,0,0,104,4,0,382537,2569734,1192310
6681812,Avenches,7,False,2569729,1192535,0,0,0,67,28,0,98,14,0,100,2,1,377154,2555366,1188705
6600384,Avenches,3,False,2569106,1191963,0,0,0,46,23,0,44,16,0,102,2,0,35414,2601030,1199679
6459112,Avenches,58,True,2569808,1191913,44,28,1,110,3,0,87,11,0,64,6,0,89840,2575808,1190567
6649485,Avenches,61,True,2569510,1191874,44,10,1,110,12,0,100,7,0,86,2,0,126978,2568958,1191930
6682352,Avenches,35,True,2569529,1192444,80,72,1,78,13,0,55,12,0,48,2,0,382537,2569734,1192310
6458830,Avenches,24,True,2569657,1192080,81,6,0,78,55,0,123,8,0,62,0,0,368942,2561514,1187205
6681739,Avenches,61,True,2570427,1192990,82,0,0,104,8,0,53,12,0,109,1,0,152943,2575828,1183089
6946444,Avenches,38,False,2569685,1192500,42,56,0,0,0,0,85,24,0,55,8,0,32472,2567250,1191438
6682386,Avenches,45,True,2569510,1191874,58,32,0,104,12,0,108,10,0,90,3,0,82823,2561666,1185519
6326327,Avenches,31,True,2569691,1192215,42,56,1,76,22,0,114,1,0,102,1,1,32034,2562538,1185453
6458705,Avenches,87,False,2569650,1192521,84,2,0,60,3,0,56,24,0,84,4,0,47456,2600630,1200439
6682524,Avenches,57,True,2570820,1191637,54,73,1,50,10,0,81,14,0,64,4,0,250783,2569626,1189125
6326453,Avenches,38,True,2569170,1192085,58,57,1,107,10,0,104,42,0,110,2,0,100753,2554894,1188020
7074631,Avenches,10,False,2569766,1192598,0,0,0,67,28,1,108,10,0,97,1,0,92659,2569666,1192548
6682348,Avenches,52,True,2569966,1192656,88,20,1,112,0,0,112,0,0,74,2,1,315210,2574788,1196451
6682770,Avenches,7,False,2569878,1192610,0,0,0,40,26,0,78,5,0,94,1,0,449648,2569834,1192143
6682552,Avenches,20,True,2569845,1192690,43,28,1,52,41,0,84,22,0,102,2,0,128372,2569872,1192805
6936113,Avenches,10,False,2569845,1192690,0,0,0,88,12,1,118,12,1,70,0,0,231916,2570248,1192993
6681765,Avenches,21,False,2569592,1192838,65,51,0,46,16,1,48,21,0,56,2,0,105985,2575486,1197521
6986415,Avenches,28,True,2571114,1191511,42,29,0,78,41,0,126,3,0,100,0,0,164311,2723372,1256241
6934004,Avenches,48,True,2569666,1192548,43,25,0,118,6,0,114,20,1,60,1,0,376108,2578432,1183969
6326519,Avenches,64,True,2569881,1192478,58,21,1,112,6,0,56,10,1,94,1,1,304312,2563064,1186486
6326443,Avenches,30,True,2569618,1192165,52,52,1,76,41,0,98,10,0,56,2,0,629,2578504,1182476
6459242,Avenches,28,True,2569566,1192166,79,32,1,50,41,0,101,7,1,59,3,1,377161,2578644,1184502
6998477,Avenches,8,False,2569733,1192145,0,0,0,43,22,0,86,2,0,84,0,0,56678,2577988,1184277
6458674,Avenches,27,True,2569128,1192011,44,53,0,50,11,0,108,8,0,52,11,0,382966,2568084,1191731
6968229,Avenches,32,True,2569852,1191769,40,66,1,50,63,0,70,0,1,36,2,0,103158,2532144,1154882
6927702,Avenches,68,True,2569597,1191700,52,24,0,0,0,0,120,18,0,71,4,0,382537,2569734,1192310
6682859,Avenches,11,False,2570079,1192665,0,0,0,79,22,1,74,4,0,97,0,0,92659,2569666,1192548
6326775,Avenches,38,True,2569170,1192085,36,54,1,72,18,0,104,1,1,94,2,1,408010,2577764,1205048
6682258,Avenches,10,False,2569542,1192206,0,0,0,46,6,1,92,21,1,64,1,0,131066,2575324,1201373
6954664,Avenches,6,False,2569724,1192532,0,0,0,82,22,1,108,12,0,118,0,0,282589,2570368,1189049
6934158,Avenches,41,True,2569933,1192690,40,72,1,110,6,0,90,-113,0,80,2,0,113825,2575054,1195844
7081861,Avenches,40,True,2569629,1191683,120,25,1,110,6,0,124,10,1,94,6,1,552836,2565700,1194989
6326324,Avenches,32,True,2569779,1192228,68,12,1,76,48,0,72,0,1,68,0,0,127811,2561292,1204426
6326415,Avenches,90,False,2569532,1192199,84,6,0,93,48,0,82,6,1,64,0,1,172451,2574986,1196413
7011196,Avenches,38,True,2570884,1191876,83,56,0,118,12,0,76,0,0,44,2,0,318559,2538666,1152122
6682640,Avenches,18,True,2569761,1191831,0,0,0,42,28,0,74,8,1,102,0,1,13563,2539480,1179750
6986417,Avenches,57,True,2571114,1191511,39,10,0,56,12,0,95,14,0,62,3,1,235503,2569048,1192201
6682693,Avenches,8,False,2569607,1192214,0,0,0,82,18,0,71,0,0,77,0,0,455130,2552044,1182508
6681996,Avenches,49,True,2569068,1191947,38,26,0,104,23,0,64,6,0,92,2,0,383641,2568290,1196660
6458929,Avenches,65,False,2569550,1192101,42,56,0,0,0,0,106,9,0,55,2,0,440724,2569776,1193237
6639144,Avenches,88,False,2569510,1192127,84,2,0,60,4,0,76,0,0,64,2,0,156395,2574880,1196387
6648698,Avenches,69,False,2569068,1191947,85,14,0,60,4,0,72,0,1,62,0,0,551862,2567346,1196253
6681901,Avenches,5,False,2569913,1191871,0,0,0,42,22,0,75,2,0,65,0,0,382537,2569734,1192310
6681857,Avenches,48,True,2569480,1191837,46,64,0,104,18,0,88,12,1,56,6,1,305262,2577012,1183419
6682359,Avenches,16,True,2570923,1191739,0,0,1,42,23,0,58,6,1,86,0,0,376633,2578738,1184046
6326725,Avenches,39,True,2569570,1192136,37,62,0,110,48,0,111,8,1,70,2,0,38865,2575566,1183296
6439545,Avenches,38,True,2569170,1192085,98,28,1,50,48,0,70,3,1,66,2,1,105296,2570476,1193703
7125964,Avenches,30,True,2569256,1191911,50,6,0,76,16,0,68,-123,0,107,2,1,41396,2569742,1192685
6326552,Avenches,39,True,2569903,1192184,80,66,1,108,6,0,88,5,0,68,1,0,305262,2577012,1183419
6681751,Avenches,5,False,2569719,1192663,0,0,0,83,20,0,115,24,0,67,0,0,128376,2569912,1192410
6682867,Avenches,70,True,2569749,1192269,82,6,0,0,0,0,82,10,0,40,2,0,77945,2581118,1187751
6458954,Avenches,69,False,2569240,1194781,94,2,0,59,4,0,95,8,1,92,0,1,368950,2570686,1186758
6682798,Avenches,11,False,2569128,1192011,0,0,0,115,28,1,95,5,0,61,2,0,81506,2528794,1163499
6682920,Avenches,38,True,2569878,1192610,42,42,0,72,12,0,76,3,1,72,2,0,247244,2569712,1192128
6682882,Avenches,25,True,2569766,1192598,38,6,0,78,21,0,70,16,0,63,2,0,449648,2569834,1192143
7105781,Avenches,45,True,2569328,1192022,82,22,0,104,7,0,104,4,0,68,12,0,383641,2568290,1196660
6459305,Avenches,58,True,2571109,1191558,42,53,1,96,30,0,68,15,1,93,6,0,26328,2575920,1183278
6326382,Avenches,38,True,2570010,1192712,106,26,1,110,3,0,116,14,0,66,3,1,40939,2581838,1200291
6682416,Avenches,32,False,2570010,1192712,65,7,0,78,20,0,86,0,1,122,8,0,287310,2664380,1224506
6681753,Avenches,27,True,2570053,1192690,80,24,1,104,34,0,116,8,0,110,3,0,13563,2539480,1179750
6326437,Avenches,44,True,2569357,1192218,98,25,0,110,12,0,120,2,0,55,1,0,83189,2571184,1191542
6682883,Avenches,49,True,2569550,1191674,42,56,1,110,23,0,114,3,1,77,0,0,99297,2533728,1155318
7029495,Avenches,29,True,2571131,1191567,48,26,0,50,22,0,84,15,0,52,2,0,372183,2561136,1186107
6682266,Avenches,25,True,2569802,1192611,28,13,0,114,24,0,117,17,0,62,3,0,89840,2575808,1190567
6458758,Avenches,66,True,2569541,1192032,48,0,1,0,0,0,108,11,0,75,6,1,299200,2596996,1198647
6459022,Avenches,21,True,2569503,1191818,52,2,0,119,12,1,76,2,1,50,0,0,376099,2578968,1183968
6681703,Avenches,38,True,2569987,1192492,40,2,1,96,12,0,110,32,1,80,2,0,97735,2535742,1153547
6682107,Avenches,8,False,2569637,1192066,0,0,0,78,45,1,80,23,1,72,4,0,231400,2507558,1137605
7021298,Avenches,27,True,2569627,1192576,87,44,1,86,18,0,68,4,1,97,0,1,239967,2600762,1199531
6682140,Avenches,15,True,2569614,1189200,0,0,1,48,26,0,84,1,0,64,0,0,21221,2569536,1211265
6326643,Avenches,73,False,2569921,1192293,64,2,0,93,8,0,66,0,0,82,2,1,105296,2570476,1193703
6644476,Avenches,69,True,2569535,1192028,42,6,0,0,0,0,65,19,0,71,4,0,3053,2561184,1186129
6651285,Avenches,50,True,2570850,1191650,46,50,1,72,12,0,123,12,0,80,0,0,220831,2573300,1181410
6966692,Avenches,46,True,2570583,1194716,72,16,1,56,3,0,119,6,0,84,2,0,128373,2569666,1192548
6458927,Avenches,69,False,2569570,1192136,64,3,0,65,4,0,88,1,0,70,1,0,366722,2599482,1199020
6326561,Avenches,72,False,2569465,1192400,84,6,0,60,8,0,52,10,1,97,2,1,22082,2602444,1202664
6681721,Avenches,52,True,2569340,1191968,80,32,0,110,23,0,56,16,0,106,2,0,202950,2568958,1191930
6682232,Avenches,39,True,2569509,1191612,78,58,0,72,6,0,84,36,0,63,2,0,52221,2571884,1189028
6616832,Avenches,50,True,2570027,1192547,52,56,1,110,6,0,110,12,0,87,6,0,376636,2578104,1183936
6326301,Avenches,47,True,2569527,1192096,44,35,0,110,8,0,62,18,0,60,2,0,362818,2601016,1199703
6459139,Avenches,59,True,2569548,1192035,40,32,0,56,6,0,52,2,0,63,1,0,254914,2573998,1188884
7041426,Avenches,25,True,2569934,1192617,48,24,1,77,12,0,118,14,1,94,2,0,109789,2567530,1191039
6326428,Avenches,69,False,2569128,1192011,64,2,0,60,4,0,74,4,1,51,2,0,91623,2602596,1202902
6682566,Avenches,75,False,2569627,1192576,84,14,0,65,8,0,83,0,0,74,1,0,102691,2599134,1199745
7004301,Avenches,17,True,2569878,1192664,0,0,1,43,10,0,80,4,0,90,2,0,81761,2561792,1185371
6681991,Avenches,62,True,2569685,1192500,76,6,0,108,7,0,61,4,1,72,0,1,105296,2570476,1193703
6459314,Avenches,59,False,2570010,1192646,42,56,0,0,0,0,91,12,0,95,6,0,60451,2538486,1181460
6428060,Avenches,57,True,2569655,1192134,78,20,1,104,12,0,114,6,0,100,3,1,339844,2569928,1192125
6681601,Avenches,14,False,2571007,1190254,0,0,0,48,22,0,104,4,0,112,0,0,382537,2569734,1192310
6682520,Avenches,12,False,2569982,1192679,0,0,0,46,12,1,98,6,1,99,0,0,368950,2570686,1186758
6326355,Avenches,36,True,2569740,1192274,63,14,0,118,12,0,84,4,1,60,6,1,42125,2569192,1197151
7062209,Avenches,17,False,2569421,1189175,0,0,0,49,26,1,98,36,1,108,2,0,97735,2535742,1153547
7105784,Avenches,7,False,2569328,1192022,0,0,0,43,44,1,102,6,1,92,6,0,362818,2601016,1199703
6459148,Avenches,69,False,2569938,1192242,82,6,0,65,4,0,112,2,1,56,3,1,42125,2569192,1197151
6682738,Avenches,65,False,2569522,1191827,42,56,0,0,0,0,56,10,0,56,9,0,291770,2574398,1185668
